"time","SC","SR","PPG","SR_transformed","SC_transformed","SC_z","SR_z"
8.354,1.6472,6.07,2.901,6.07,1.6472,-0.529331473237929,0.511205633712445
8.355,1.6466,6.072,2.8937,6.072,1.6466,-0.538628538107057,0.520109503858095
8.356,1.6461,6.074,2.908,6.074,1.6461,-0.546376092164665,0.529013374003746
8.357,1.6456,6.076,2.901,6.076,1.6456,-0.554123646222272,0.537917244149401
8.358,1.644,6.08,2.901,6.08,1.644,-0.578915819206616,0.555724984440702
8.359,1.6441,6.082,2.908,6.082,1.6441,-0.577366308395098,0.564628854586352
8.36,1.6436,6.084,2.901,6.084,1.6436,-0.585113862452705,0.573532724732003
8.36167,1.6431,6.0859,2.908,6.0859,1.6431,-0.592861416510313,0.581991401370372
8.362,1.642,6.0878,2.908,6.0878,1.642,-0.609906035437049,0.590450078008741
8.363,1.641,6.093,2.9157,6.093,1.641,-0.625401143552267,0.613600140387437
8.364,1.64,6.0954,2.908,6.0954,1.64,-0.640896251667482,0.624284784562218
8.365,1.64,6.097,2.908,6.097,1.64,-0.640896251667485,0.631407880678738
8.366,1.639,6.101,2.945,6.101,1.639,-0.6563913597827,0.649215620970043
8.367,1.639,6.101,2.9157,6.101,1.639,-0.6563913597827,0.649215620970043
8.368,1.638,6.1049,2.908,6.1049,1.638,-0.671886467897915,0.666578167754063
8.3696,1.6369,6.108,2.9157,6.108,1.6369,-0.688931086824655,0.680379166479822
8.37,1.6364,6.11,2.9157,6.11,1.6364,-0.696678640882262,0.689283036625473
8.371,1.6354,6.114,2.9157,6.114,1.6354,-0.712173748997477,0.707090776916774
8.372,1.6344,6.118,2.9157,6.118,1.6344,-0.727668857112695,0.72489851720808
8.373,1.6334,6.1221,2.908,6.1221,1.6334,-0.743163965227907,0.74315145100667
8.374,1.6323,6.125,2.9157,6.125,1.6323,-0.76020858415465,0.756062062717859
8.375,1.6323,6.125,2.9157,6.125,1.6323,-0.76020858415465,0.756062062717859
8.376,1.6303,6.133,2.9157,6.133,1.6303,-0.791198800385083,0.791677543300469
8.37767,1.6298,6.135,2.923,6.135,1.6298,-0.798946354442694,0.80058141344612
8.378,1.628,6.139,2.9157,6.139,1.628,-0.82683754905008,0.818389153737425
8.379,1.6278,6.143,2.923,6.143,1.6278,-0.829936570673127,0.836196894028726
8.38,1.626,6.147,2.9157,6.147,1.626,-0.857827765280514,0.854004634320028
8.381,1.6257,6.1509,2.923,6.1509,1.6257,-0.862476297715078,0.871367181104051
8.382,1.624,6.1548,2.9157,6.1548,1.624,-0.888817981510947,0.888729727888071
8.383,1.6237,6.158,2.9157,6.158,1.6237,-0.893466513945511,0.902975920121112
8.384,1.6232,6.16,2.923,6.16,1.6232,-0.901214068003122,0.911879790266763
8.385,1.6221,6.164,2.967,6.164,1.6221,-0.918258686929858,0.929687530558064
8.386,1.6206,6.17,2.923,6.17,1.6206,-0.941501349102684,0.956399140995024
8.387,1.6201,6.1722,2.9157,6.1722,1.6201,-0.949248903160291,0.966193398155245
8.388,1.619,6.174,2.923,6.174,1.619,-0.966293522087031,0.974206881286325
8.389,1.6186,6.178,2.9304,6.178,1.6186,-0.972491565333117,0.99201462157763
8.39,1.6175,6.18202,2.923,6.18202,1.6175,-0.989536184259853,1.00991140057039
8.391,1.6175,6.18202,2.9304,6.18202,1.6175,-0.989536184259853,1.00991140057039
8.392,1.616,6.18788,2.9304,6.18788,1.616,-1.01277884643268,1.03599974009716
8.39367,1.615,6.1898,2.9304,6.1898,1.615,-1.0282739545479,1.04454745543697
8.394,1.615,6.1898,2.9304,6.1898,1.615,-1.0282739545479,1.04454745543697
8.395,1.614,6.1957,2.923,6.1957,1.614,-1.04376906266311,1.07081387236665
8.396,1.614,6.1957,2.923,6.1957,1.614,-1.04376906266311,1.07081387236665
8.397,1.612,6.1996,2.9304,6.1996,1.612,-1.07475927889354,1.08817641915067
8.398,1.611,6.2035,2.9304,6.2035,1.611,-1.09025438700876,1.10553896593469
8.399,1.6109,6.207,2.937,6.207,1.6109,-1.09180389782028,1.12112073868958
8.4,1.6109,6.207,2.9523,6.207,1.6109,-1.09180389782028,1.12112073868958
8.4016,1.6104,6.209,2.9597,6.209,1.6104,-1.09955145187789,1.13002460883523
8.402,1.609,6.211,2.9523,6.211,1.609,-1.1212446032392,1.13892847898088
8.403,1.6094,6.2134,2.9523,6.2134,1.6094,-1.11504655999311,1.14961312315566
8.404,1.608,6.215,2.9597,6.215,1.608,-1.13673971135441,1.15673621927218
8.405,1.608,6.215,2.9597,6.215,1.608,-1.13673971135441,1.15673621927218
8.406,1.6084,6.217,2.9523,6.217,1.6084,-1.13054166810833,1.16564008941784
8.407,1.6078,6.219,2.9597,6.219,1.6078,-1.13983873297746,1.17454395956349
8.408,1.6068,6.2232,2.9597,6.2232,1.6068,-1.15533384109268,1.19324208686936
8.40967,1.6068,6.2232,2.9597,6.2232,1.6068,-1.15533384109268,1.19324208686936
8.41,1.6063,6.225,2.9597,6.225,1.6063,-1.16308139515028,1.20125557000044
8.411,1.6058,6.227,3.003,6.227,1.6058,-1.17082894920789,1.21015944014609
8.412,1.605,6.2292,2.9597,6.2292,1.605,-1.18322503570006,1.21995369730631
8.413,1.605,6.2292,2.9597,6.2292,1.605,-1.18322503570006,1.21995369730631
8.414,1.60482,6.231,2.9597,6.231,1.60482,-1.1860141551608,1.2279671804374
8.415,1.6043,6.233,2.9597,6.233,1.6043,-1.19407161138072,1.23687105058305
8.416,1.6043,6.233,2.9597,6.233,1.6043,-1.19407161138072,1.23687105058305
8.41767,1.6038,6.235,2.9597,6.235,1.6038,-1.20181916543832,1.2457749207287
8.418,1.6032,6.237,2.967,6.237,1.6032,-1.21111623030745,1.25467879087435
8.419,1.6032,6.237,2.9597,6.237,1.6032,-1.21111623030745,1.25467879087435
8.42,1.602,6.239,2.967,6.239,1.602,-1.22971036004571,1.26358266102001
8.421,1.602,6.241,2.967,6.241,1.602,-1.22971036004571,1.27248653116566
8.422,1.6017,6.243,2.967,6.243,1.6017,-1.23435889248027,1.28139040131131
8.423,1.6017,6.243,2.9597,6.243,1.6017,-1.23435889248027,1.28139040131131
8.424,1.6012,6.245,2.967,6.245,1.6012,-1.24210644653789,1.29029427145696
8.42567,1.6,6.247,2.967,6.247,1.6,-1.26070057627614,1.29919814160261
8.426,1.6002,6.249,2.967,6.249,1.6002,-1.2576015546531,1.30810201174827
8.427,1.5997,6.251,2.967,6.251,1.5997,-1.26534910871071,1.31700588189392
8.428,1.5992,6.253,2.967,6.253,1.5992,-1.27309666276832,1.32590975203957
8.429,1.5987,6.255,2.967,6.255,1.5987,-1.28084421682593,1.33481362218522
8.43,1.5981,6.257,2.974,6.257,1.5981,-1.29014128169506,1.34371749233087
8.431,1.597,6.259,2.967,6.259,1.597,-1.30718590062179,1.35262136247652
8.432,1.5971,6.261,2.9816,6.261,1.5971,-1.30563638981027,1.36152523262217
8.4336,1.5971,6.261,2.9816,6.261,1.5971,-1.30563638981027,1.36152523262217
8.434,1.596,6.265,2.974,6.265,1.596,-1.32268100873701,1.37933297291347
8.435,1.5951,6.269,2.9816,6.269,1.5951,-1.33662660604071,1.39714071320478
8.436,1.5951,6.269,2.974,6.269,1.5951,-1.33662660604071,1.39714071320478
8.437,1.5951,6.269,2.9816,6.269,1.5951,-1.33662660604071,1.39714071320478
8.438,1.5941,6.273,2.9816,6.273,1.5941,-1.35212171415592,1.41494845349608
8.439,1.593,6.275,2.9816,6.275,1.593,-1.36916633308266,1.42385232364174
8.44,1.593,6.275,2.974,6.275,1.593,-1.36916633308266,1.42385232364174
8.44167,1.5925,6.2791,2.9816,6.2791,1.5925,-1.37691388714027,1.44210525744032
8.442,1.5925,6.2791,2.974,6.2791,1.5925,-1.37691388714027,1.44210525744032
8.443,1.5915,6.283,2.9816,6.283,1.5915,-1.39240899525548,1.45946780422434
8.444,1.5905,6.287,2.9816,6.287,1.5905,-1.4079041033707,1.47727554451564
8.445,1.59,6.28921,2.9816,6.28921,1.59,-1.41565165742831,1.48711432102659
8.446,1.59,6.28921,2.974,6.28921,1.59,-1.41565165742831,1.48711432102659
8.447,1.588,6.2952,2.9816,6.2952,1.588,-1.44664187365874,1.51378141211281
8.448,1.588,6.2952,2.9816,6.2952,1.588,-1.44664187365874,1.51378141211281
8.449,1.5879,6.2972,3.003,6.2972,1.5879,-1.44819138447026,1.52268528225847
8.45,1.5869,6.301,2.989,6.301,1.5869,-1.46368649258548,1.53960263553521
8.451,1.586,6.303,2.9816,6.303,1.586,-1.47763208988918,1.54850650568086
8.452,1.5859,6.305,2.996,6.305,1.5859,-1.4791816007007,1.55741037582651
8.453,1.5854,6.307,2.989,6.307,1.5854,-1.4869291547583,1.56631424597216
8.454,1.5844,6.311,2.9816,6.311,1.5844,-1.50242426287352,1.58412198626346
8.455,1.5838,6.313,2.989,6.313,1.5838,-1.51172132774265,1.59302585640911
